# cinzal-simulate-breakdown v1 seed=6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e git_sha=c74de2d1043a60de400b5b8a5a897a7d5ed0afd7 matches=10000 players=5 bots=operator sweep=Rounds:15
status,error,sweep.Rounds,players,bot_tier,match_count,matches_completed,root_seed,git_sha,config_sha256,block,key,label,numerator,denominator,pooled_rate,per_match_mean,per_match_half_width,per_match_n,per_match_excluded
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r1_overall,all,halted / submitted non-empty routes,399355,707551,0.564419,0.565275,0.002493,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r1_match_over_threshold,0.15,matches whose own rate clears row 1's failing line,9999,10000,0.999900,0.999900,0.000196,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r1_round,1,"halted / submitted, this round only",24898,50000,0.497960,0.497960,0.005539,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r1_round,2,"halted / submitted, this round only",10023,47225,0.212239,0.213752,0.004567,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r1_round,3,"halted / submitted, this round only",23729,49404,0.480305,0.482340,0.006269,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r1_round,4,"halted / submitted, this round only",27628,48143,0.573874,0.574903,0.006666,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r1_round,5,"halted / submitted, this round only",30242,48366,0.625274,0.627093,0.007000,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r1_round,6,"halted / submitted, this round only",30992,48239,0.642468,0.643293,0.007243,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r1_round,7,"halted / submitted, this round only",21983,44973,0.488804,0.497423,0.006630,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r1_round,8,"halted / submitted, this round only",29476,46744,0.630584,0.638714,0.007255,9992,8
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r1_round,9,"halted / submitted, this round only",30239,46889,0.644906,0.648495,0.007160,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r1_round,10,"halted / submitted, this round only",30860,47138,0.654674,0.658333,0.007230,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r1_round,11,"halted / submitted, this round only",28930,46502,0.622124,0.625935,0.007296,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r1_round,12,"halted / submitted, this round only",24725,45193,0.547098,0.554653,0.007143,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r1_round,13,"halted / submitted, this round only",28605,46397,0.616527,0.621903,0.007336,9997,3
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r1_round,14,"halted / submitted, this round only",28543,46116,0.618939,0.623609,0.007223,9999,1
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r1_round,15,"halted / submitted, this round only",28482,46222,0.616200,0.620742,0.007266,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r6_overall,all,live incident rounds that hit at least one seat,46671,130000,0.359008,0.359008,0.001964,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r6_card,Flood,hazard,5567,8121,0.685507,0.685507,0.010099,8121,1879
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r6_card,Snatch Job,hazard,5838,8151,0.716231,0.716231,0.009788,8151,1849
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r6_card,Guard Sweep,hazard,5898,8191,0.720059,0.720059,0.009724,8191,1809
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r6_card,Torched,hazard,4,8210,0.000487,0.000487,0.000477,8210,1790
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r6_card,Turf War,hazard,5902,8196,0.720107,0.720107,0.009720,8196,1804
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r6_card,Streets Blocked,hazard,5921,8163,0.725346,0.725346,0.009683,8163,1837
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r6_card,Gas Leak,hazard,0,8270,0.000000,0.000000,0.000000,8270,1730
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r6_card,Riot,hazard,0,8210,0.000000,0.000000,0.000000,8210,1790
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r6_card,Sinkhole,hazard,0,8126,0.000000,0.000000,0.000000,8126,1874
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r6_card,Shakedown,hazard,5936,8196,0.724256,0.724256,0.009676,8196,1804
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r6_card,Informant Ring,hazard,0,8166,0.000000,0.000000,0.000000,8166,1834
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r6_card,Spilled Load,boon,0,7984,0.000000,0.000000,0.000000,7984,2016
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r6_card,Local Informant,boon,5796,8006,0.723957,0.723957,0.009793,8006,1994
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r6_card,Distracted Guard,boon,5809,7984,0.727580,0.727580,0.009766,7984,2016
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r6_card,Open Doors,boon,0,8042,0.000000,0.000000,0.000000,8042,1958
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r6_card,Word of Work,boon,0,7984,0.000000,0.000000,0.000000,7984,2016
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r7_infamy9,final,row 4 as the verdict reads it: any seat at 9+ at final scoring,4428,10000,0.442800,0.442800,0.009736,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r7_infamy9,ever,any seat at 9+ at the end of any round,8299,10000,0.829900,0.829900,0.007364,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r7_tier4,offered,Tier IV offers put in front of a seat,12805,10000,1.280500,1.280500,0.029584,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r7_tier4,accepted,Tier IV contracts accepted,8724,10000,0.872400,0.872400,0.018826,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r7_tier4,delivered,Tier IV contracts delivered,135,10000,0.013500,0.013500,0.002362,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r7_tier4,abandoned,Tier IV contracts accepted and then missed,2218,10000,0.221800,0.221800,0.009256,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r7_tier4,unresolved,Tier IV contracts still held at final scoring,6371,10000,0.637100,0.637100,0.015651,10000,0
ok,,15,5,operator,10000,10000,6e9de6981c839e3f965a2ec1cc24b8f4d0b27fcf8ab0a2fc65a61c53d066d98e,c74de2d1043a60de400b5b8a5a897a7d5ed0afd7,3d3d36a83644614ce748563136c5cff262b69f9d06ffad547134b75155bad1cc,r7_tier4,abandon_rate,abandoned / accepted,2218,8724,0.254241,0.248040,0.009729,5485,4515
